date,time,country,country_code,opposing_country,spi,opposing_spi,spi_offense,opposing_spi_offense,spi_defense,opposing_spi_defense,sixteen,win
22-Jun,0:00,Costa Rica,CRC,GRE,78.55,74.21,1.5911,1.1796,0.6107,0.5825,1,1
22-Jun,0:00,France,FRA,NGA,87.82,74.86,2.7485,1.5469,0.62,0.8212,0.9998,1
22-Jun,0:00,Germany,GER,ALG,89.38,64.22,3.237,1.1757,0.745,1.1682,0.9804,0
22-Jun,0:00,Greece,GRE,CRC,74.21,78.55,1.1796,1.5911,0.5825,0.6107,0.2165,0
22-Jun,0:00,Mexico,MEX,NED,78.45,86.18,1.4757,2.7976,0.534,0.8089,0.6114,0
22-Jun,0:00,Netherlands,NED,MEX,86.18,78.45,2.7976,1.4757,0.8089,0.534,1,1
22-Jun,0:00,Nigeria,NGA,FRA,74.86,87.82,1.5469,2.7485,0.8212,0.62,0.8761,0
22-Jun,0:00,Switzerland,SUI,ARG,78.27,89.92,2.1691,2.8288,1.0401,0.4448,0.6052,0
22-Jun,0:00,Uruguay,URU,COL,81.49,87.51,2.2386,2.4223,0.8471,0.4507,0.4148,0
22-Jun,0:00,USA,USA,BEL,78.54,81.82,2.1097,2.1451,0.9792,0.7583,0.6331,0
22-Jun,9:30,Algeria,ALG,GER,64.24,88.69,1.1759,3.1804,1.1673,0.7879,0.16,1
22-Jun,9:30,Argentina,ARG,SUI,89.66,78.26,2.7413,2.1701,0.4218,1.0416,1,1
22-Jun,9:30,Belgium,BEL,USA,81.79,78.67,2.1428,2.1221,0.759,0.9784,0.8678,1
22-Jun,9:30,Brazil,BRA,CHI,91.07,87.77,3.186,2.7354,0.5158,0.6178,0.9927,1
22-Jun,9:30,Chile,CHI,BRA,87.77,91.07,2.7354,3.186,0.6178,0.5158,1,0
22-Jun,9:30,Colombia,COL,URU,87.48,81.49,2.4192,2.2409,0.4511,0.8485,1,1
22-Jun,9:30,Costa Rica,CRC,GRE,78.52,74.14,1.5889,1.1789,0.6109,0.5861,1,1
22-Jun,9:30,France,FRA,NGA,87.81,76.01,2.7464,1.5294,0.6204,0.7335,1,1
22-Jun,9:30,Germany,GER,ALG,88.69,64.24,3.1804,1.1759,0.7879,1.1673,0.977,0
22-Jun,9:30,Greece,GRE,CRC,74.14,78.52,1.1789,1.5889,0.5861,0.6109,0.2097,0
22-Jun,9:30,Mexico,MEX,NED,78.43,86.19,1.4776,2.7961,0.5368,0.8076,0.617,0
22-Jun,9:30,Netherlands,NED,MEX,86.19,78.43,2.7961,1.4776,0.8076,0.5368,1,1
22-Jun,9:30,Nigeria,NGA,FRA,76.01,87.81,1.5294,2.7464,0.7335,0.6204,0.8776,0
22-Jun,9:30,Switzerland,SUI,ARG,78.26,89.66,2.1701,2.7413,1.0416,0.4218,0.6069,0
22-Jun,9:30,Uruguay,URU,COL,81.49,87.48,2.2409,2.4192,0.8485,0.4511,0.4044,0
22-Jun,9:30,USA,USA,BEL,78.67,81.79,2.1221,2.1428,0.9784,0.759,0.6475,0
22-Jun,18:00,Algeria,ALG,GER,64.24,88.69,1.1759,3.1804,1.1673,0.7879,0.1874,1
22-Jun,18:00,Argentina,ARG,SUI,89.66,78.26,2.7413,2.1701,0.4218,1.0416,1,1
